id,plugin_id,name,scanner_risk,final_risk,cvss_score,triage_status,sample_url,evidence,triage_reason
ZAP-001,10038,Content Security Policy (CSP) Header Not Set,Medium,Medium,5.4,Confirmed (True Positive),http://127.0.0.1:3000/,Missing Content-Security-Policy response header,Missing browser sandbox defense; allows inline scripts and XSS execution.
ZAP-002,10098,Cross-Domain Misconfiguration,Medium,Medium,6.5,Confirmed (True Positive),http://127.0.0.1:3000/rest/products/search,Access-Control-Allow-Origin: *,Wildcard origin reflected on API endpoints allows unauthorized cross-domain reads.
ZAP-003,10020,Missing Anti-clickjacking Header,Medium,Low,3.1,Contextual Nuance,http://127.0.0.1:3000/assets/i18n/en.json,Missing X-Frame-Options on sub-resource,Sub-resource cannot be framed in HTML iframe; main portal has SAMEORIGIN.
ZAP-004,10043,Session ID in URL Rewrite,Medium,None,0.0,Rejected (False Positive),http://127.0.0.1:3000/socket.io/?EIO=4&transport=polling&sid=3t7N9fA3zYq0-L_HAAAB,sid=3t7N9fA3zYq0-L_HAAAB,Socket.IO transport parameter misclassified by scanner regex; auth uses Bearer JWT.
ZAP-005,10036,Server Leaks Private IP Address,Low,Low,2.6,Environmental Nuance,http://127.0.0.1:3000/,172.17.0.2,Internal Docker network bridge address in isolated test environment.
ZAP-006,10035,Strict-Transport-Security Header Not Set,Low,Low,3.7,Environmental Limitation,http://127.0.0.1:3000/,Missing Strict-Transport-Security header,RFC 6797 prohibits HSTS over unencrypted HTTP; requires edge TLS termination.
ZAP-007,10096,Timestamp Disclosure - Unix,Low,None,0.0,Rejected (False Positive),http://127.0.0.1:3000/frontend/dist/runtime.js,1722240000, Benign static asset hash or public review date; not sensitive server epoch.
ZAP-008,10021,X-Content-Type-Options Header Missing,Low,Low,3.5,Confirmed (True Positive),http://127.0.0.1:3000/api-docs/,Missing X-Content-Type-Options header,Missing nosniff header allows MIME-sniffing vulnerabilities in legacy browsers.
ZAP-009,10109,Modern Web Application,Informational,Informational,0.0,Informational,http://127.0.0.1:3000/,AJAX and SPA components detected,Architecture or operational indicator; no direct security vulnerability.
ZAP-010,10015,Re-examine Cache-control Directives,Informational,Informational,0.0,Informational,http://127.0.0.1:3000/,"Cache-Control: public, max-age=0",Architecture or operational indicator; no direct security vulnerability.
